CFSAUID,DGUID,PRUID,PRNAME,LANDAREA,npop_count
N2E,2021A0011N2E,35,Ontario,12.6935,
N2G,2021A0011N2G,35,Ontario,5.679,
N2H,2021A0011N2H,35,Ontario,11.3629,
N2J,2021A0011N2J,35,Ontario,38.2888,
N2K,2021A0011N2K,35,Ontario,20.4743,
N2L,2021A0011N2L,35,Ontario,15.7746,
N2M,2021A0011N2M,35,Ontario,10.3077,
N2N,2021A0011N2N,35,Ontario,10.2024,
N2P,2021A0011N2P,35,Ontario,19.3575,
N2R,2021A0011N2R,35,Ontario,26.9683,
N2T,2021A0011N2T,35,Ontario,7.1546,
N2V,2021A0011N2V,35,Ontario,19.0718,
N2Z,2021A0011N2Z,35,Ontario,283.6428,
N3A,2021A0011N3A,35,Ontario,196.8159,
N3B,2021A0011N3B,35,Ontario,56.0565,
N3C,2021A0011N3C,35,Ontario,56.6023,
N3E,2021A0011N3E,35,Ontario,14.2872,
N3H,2021A0011N3H,35,Ontario,26.3894,
N3L,2021A0011N3L,35,Ontario,136.6595,
N3P,2021A0011N3P,35,Ontario,7.4808,
N3R,2021A0011N3R,35,Ontario,16.4913,
N3S,2021A0011N3S,35,Ontario,21.1132,
N3T,2021A0011N3T,35,Ontario,245.8371,
N3V,2021A0011N3V,35,Ontario,0.6066,
N3W,2021A0011N3W,35,Ontario,191.854,
N3Y,2021A0011N3Y,35,Ontario,392.1731,
N4B,2021A0011N4B,35,Ontario,141.7672,
N4G,2021A0011N4G,35,Ontario,130.0817,
N4K,2021A0011N4K,35,Ontario,356.4141,
N4L,2021A0011N4L,35,Ontario,288.4458,
N4N,2021A0011N4N,35,Ontario,141.6356,
N4S,2021A0011N4S,35,Ontario,294.6386,
N4T,2021A0011N4T,35,Ontario,28.6033,
N4V,2021A0011N4V,35,Ontario,2.048,
N4W,2021A0011N4W,35,Ontario,271.1048,
N4X,2021A0011N4X,35,Ontario,293.345,
N4Z,2021A0011N4Z,35,Ontario,5.8774,
N5A,2021A0011N5A,35,Ontario,161.2882,
N5C,2021A0011N5C,35,Ontario,126.2413,
N5H,2021A0011N5H,35,Ontario,283.723,
N5L,2021A0011N5L,35,Ontario,66.2917,
N5P,2021A0011N5P,35,Ontario,293.7813,
N5R,2021A0011N5R,35,Ontario,29.3801,
N5V,2021A0011N5V,35,Ontario,38.3675,
N5W,2021A0011N5W,35,Ontario,17.5688,
N5X,2021A0011N5X,35,Ontario,11.7911,
N5Y,2021A0011N5Y,35,Ontario,11.9884,
N5Z,2021A0011N5Z,35,Ontario,10.2388,
N6A,2021A0011N6A,35,Ontario,6.0614,
N6B,2021A0011N6B,35,Ontario,2.9296,
N6C,2021A0011N6C,35,Ontario,13.4371,
N6E,2021A0011N6E,35,Ontario,15.4174,
N6G,2021A0011N6G,35,Ontario,47.7933,
N6H,2021A0011N6H,35,Ontario,33.763,
N6J,2021A0011N6J,35,Ontario,9.4009,
N6K,2021A0011N6K,35,Ontario,34.3123,
N6L,2021A0011N6L,35,Ontario,31.5686,
N6M,2021A0011N6M,35,Ontario,41.6825,
N6N,2021A0011N6N,35,Ontario,67.5277,
N6P,2021A0011N6P,35,Ontario,164.9351,
N7A,2021A0011N7A,35,Ontario,253.3853,
N7G,2021A0011N7G,35,Ontario,220.6681,
N7L,2021A0011N7L,35,Ontario,25.7538,
N7M,2021A0011N7M,35,Ontario,325.6238,
N7S,2021A0011N7S,35,Ontario,16.0133,
N7T,2021A0011N7T,35,Ontario,101.9124,
N7V,2021A0011N7V,35,Ontario,7.5841,
N7W,2021A0011N7W,35,Ontario,36.1951,
N7X,2021A0011N7X,35,Ontario,7.1848,
N8A,2021A0011N8A,35,Ontario,358.8804,
N8H,2021A0011N8H,35,Ontario,154.9092,
N8M,2021A0011N8M,35,Ontario,120.0186,
N8N,2021A0011N8N,35,Ontario,49.2695,
N8P,2021A0011N8P,35,Ontario,5.7709,
N8R,2021A0011N8R,35,Ontario,5.8025,
N8S,2021A0011N8S,35,Ontario,9.0567,
N8T,2021A0011N8T,35,Ontario,11.3662,
N8W,2021A0011N8W,35,Ontario,16.6972,
N8X,2021A0011N8X,35,Ontario,8.2375,
N8Y,2021A0011N8Y,35,Ontario,7.9544,
N9A,2021A0011N9A,35,Ontario,6.0556,
N9B,2021A0011N9B,35,Ontario,7.2011,
N9C,2021A0011N9C,35,Ontario,8.7536,
N9E,2021A0011N9E,35,Ontario,15.1767,
